world_id,object_a,object_b,heuristic_label,gazebo_contact
world1_baseline,obj_bottle,obj_mug,Separate,0
world1_baseline,obj_bowl,obj_apple,Contact,0
world1_baseline,obj_cereal_box,obj_toy_block,Separate,0
world1_baseline,obj_notebook,obj_remote,Support,1
world1_baseline,obj_bowl,obj_apple,Contact,0
world1_baseline,obj_bowl,obj_tissue_box,Separate,0
world1_baseline,obj_spoon,obj_cereal_box,Separate,0
world1_baseline,obj_notebook,obj_remote,Support,1
world1_baseline,obj_bottle,obj_mug,Separate,0
world1_baseline,obj_bowl,obj_apple,Contact,0
world1_baseline,obj_apple,obj_spoon,Separate,0
world1_baseline,obj_notebook,obj_remote,Support,1
world1_baseline,obj_bottle,obj_plate,Separate,0
world1_baseline,obj_mug,obj_plate,Separate,0
world1_baseline,obj_bowl,obj_apple,Contact,0
world1_baseline,obj_bowl,obj_tissue_box,Separate,0
world1_baseline,obj_tissue_box,obj_notebook,Separate,0
world1_baseline,obj_tissue_box,obj_remote,Separate,0
world1_baseline,obj_notebook,obj_remote,Support,1
world1_baseline,obj_bottle,obj_mug,Separate,0
world1_baseline,obj_bowl,obj_apple,Contact,0
world1_baseline,obj_notebook,obj_remote,Support,1
world1_baseline,obj_bottle,obj_mug,Separate,0
world1_baseline,obj_bowl,obj_apple,Contact,0
world1_baseline,obj_notebook,obj_remote,Support,1
world2_dense_clutter,obj_mug,obj_tomato,Separate,0
world2_dense_clutter,obj_jar,obj_cereal_box,Separate,0
world2_dense_clutter,obj_jar,obj_apple,Separate,0
world2_dense_clutter,obj_bowl,obj_apple,Contact,1
world2_dense_clutter,obj_bowl,obj_tomato,Contact,0
world2_dense_clutter,obj_plate,obj_spoon,Separate,1
world2_dense_clutter,obj_kettle,obj_cup,Separate,0
world2_dense_clutter,obj_chopping_board,obj_knife,Support,1
world2_dense_clutter,obj_bottle,obj_tissue_box,Separate,0
world2_dense_clutter,obj_mug,obj_bowl,Separate,0
world2_dense_clutter,obj_mug,obj_apple,Separate,0
world2_dense_clutter,obj_cereal_box,obj_banana,Contact,0
world2_dense_clutter,obj_bowl,obj_apple,Contact,1
world2_dense_clutter,obj_bowl,obj_tomato,Contact,0
world2_dense_clutter,obj_plate,obj_spoon,Separate,1
world2_dense_clutter,obj_chopping_board,obj_knife,Support,1
world2_dense_clutter,obj_bottle,obj_mug,Separate,0
world2_dense_clutter,obj_jar,obj_cereal_box,Separate,0
world2_dense_clutter,obj_jar,obj_apple,Separate,0
world2_dense_clutter,obj_bowl,obj_apple,Contact,1
world2_dense_clutter,obj_bowl,obj_tomato,Contact,0
world2_dense_clutter,obj_plate,obj_spoon,Separate,1
world2_dense_clutter,obj_spoon,obj_fork,Separate,0
world2_dense_clutter,obj_kettle,obj_cup,Separate,0
world2_dense_clutter,obj_chopping_board,obj_knife,Support,1
world2_dense_clutter,obj_bottle,obj_plate,Separate,0
world2_dense_clutter,obj_bottle,obj_fork,Separate,0
world2_dense_clutter,obj_mug,obj_bowl,Separate,0
world2_dense_clutter,obj_mug,obj_chopping_board,Separate,0
world2_dense_clutter,obj_jar,obj_banana,Separate,0
world2_dense_clutter,obj_cereal_box,obj_banana,Contact,0
world2_dense_clutter,obj_cereal_box,obj_kettle,Separate,0
world2_dense_clutter,obj_bowl,obj_apple,Contact,1
world2_dense_clutter,obj_bowl,obj_tomato,Contact,0
world2_dense_clutter,obj_kettle,obj_cup,Separate,0
world2_dense_clutter,obj_chopping_board,obj_knife,Support,1
world2_dense_clutter,obj_bowl,obj_apple,Contact,1
world2_dense_clutter,obj_plate,obj_spoon,Separate,1
world2_dense_clutter,obj_chopping_board,obj_knife,Support,1
world2_dense_clutter,obj_jar,obj_cereal_box,Separate,0
world2_dense_clutter,obj_bowl,obj_apple,Contact,1
world2_dense_clutter,obj_plate,obj_spoon,Separate,1
world2_dense_clutter,obj_kettle,obj_cup,Separate,0
world2_dense_clutter,obj_chopping_board,obj_knife,Support,1
world3_thin_objects,obj_plate,obj_ruler,Support,1
world3_thin_objects,obj_fork,obj_ruler,Support,1
world3_thin_objects,obj_bottle,obj_knife,Separate,0
world3_thin_objects,obj_mug,obj_toothbrush,Contact,0
world3_thin_objects,obj_notebook,obj_pen,Contact,1
world3_thin_objects,obj_knife,obj_spoon,Support,1
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,Contact,0
world3_thin_objects,obj_plate,obj_bottle,Separate,1
world3_thin_objects,obj_plate,obj_toothbrush,Contact,0
world3_thin_objects,obj_plate,obj_ruler,Support,1
world3_thin_objects,obj_fork,obj_ruler,Support,1
world3_thin_objects,obj_mug,obj_toothbrush,Contact,0
world3_thin_objects,obj_notebook,obj_pen,Contact,1
world3_thin_objects,obj_knife,obj_spoon,Support,1
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,Contact,0
world3_thin_objects,obj_plate,obj_toothbrush,Contact,0
world3_thin_objects,obj_plate,obj_ruler,Support,1
world3_thin_objects,obj_fork,obj_ruler,Support,1
world3_thin_objects,obj_mug,obj_toothbrush,Contact,0
world3_thin_objects,obj_notebook,obj_pen,Contact,1
world3_thin_objects,obj_knife,obj_spoon,Support,1
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,Contact,0
world3_thin_objects,obj_plate,obj_bottle,Separate,1
world3_thin_objects,obj_plate,obj_ruler,Support,1
world3_thin_objects,obj_fork,obj_ruler,Support,1
world3_thin_objects,obj_bottle,obj_knife,Separate,0
world3_thin_objects,obj_bottle,obj_spoon,Separate,0
world3_thin_objects,obj_mug,obj_toothbrush,Contact,0
world3_thin_objects,obj_notebook,obj_pen,Contact,1
world3_thin_objects,obj_knife,obj_spoon,Support,1
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,Contact,0
world3_thin_objects,obj_plate,obj_bottle,Separate,1
world3_thin_objects,obj_plate,obj_ruler,Support,1
world3_thin_objects,obj_fork,obj_ruler,Support,1
world3_thin_objects,obj_mug,obj_toothbrush,Contact,0
world3_thin_objects,obj_notebook,obj_pen,Contact,1
world3_thin_objects,obj_knife,obj_spoon,Support,1
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,Contact,0
world3_thin_objects,obj_plate,obj_bottle,Separate,1
world3_thin_objects,obj_plate,obj_ruler,Support,1
world3_thin_objects,obj_fork,obj_ruler,Support,1
world3_thin_objects,obj_mug,obj_toothbrush,Contact,0
world3_thin_objects,obj_notebook,obj_pen,Contact,1
world3_thin_objects,obj_knife,obj_spoon,Support,1
world3_thin_objects,obj_chopstick_a,obj_chopstick_b,Contact,0
world4_support_scene,obj_cereal_box,obj_tissue_box,Contact,1
world4_support_scene,obj_cereal_box,obj_book,Separate,0
world4_support_scene,obj_cereal_box,obj_glass_jar,Separate,0
world4_support_scene,obj_storage_box,obj_can,Separate,1
world4_support_scene,obj_wooden_crate,obj_bottle,Separate,1
world4_support_scene,obj_wooden_crate,obj_glass_jar,Separate,0
world4_support_scene,obj_mug,obj_container,Contact,1
world4_support_scene,obj_bowl,obj_plate,Support,1
world4_support_scene,obj_notebook,obj_toy_cube,Support,1
world4_support_scene,obj_notebook,obj_container,Separate,0
world4_support_scene,obj_book,obj_glass_jar,Support,1
world4_support_scene,obj_sponge,obj_container,Support,1
world4_support_scene,obj_cereal_box,obj_tissue_box,Contact,1
world4_support_scene,obj_cereal_box,obj_plate,Separate,0
world4_support_scene,obj_cereal_box,obj_sponge,Separate,0
world4_support_scene,obj_cereal_box,obj_container,Separate,0
world4_support_scene,obj_storage_box,obj_wooden_crate,Separate,0
world4_support_scene,obj_storage_box,obj_bottle,Separate,0
world4_support_scene,obj_storage_box,obj_can,Separate,1
world4_support_scene,obj_wooden_crate,obj_bottle,Separate,1
world4_support_scene,obj_mug,obj_container,Contact,1
world4_support_scene,obj_bowl,obj_plate,Support,1
world4_support_scene,obj_plate,obj_notebook,Contact,0
world4_support_scene,obj_plate,obj_toy_cube,Separate,0
world4_support_scene,obj_notebook,obj_book,Contact,0
world4_support_scene,obj_notebook,obj_toy_cube,Support,1
world4_support_scene,obj_notebook,obj_glass_jar,Separate,0
world4_support_scene,obj_book,obj_glass_jar,Support,1
world4_support_scene,obj_sponge,obj_container,Support,1
world4_support_scene,obj_storage_box,obj_notebook,Separate,0
world4_support_scene,obj_storage_box,obj_can,Separate,1
world4_support_scene,obj_wooden_crate,obj_bottle,Separate,1
world4_support_scene,obj_bottle,obj_book,Separate,0
world4_support_scene,obj_mug,obj_sponge,Separate,0
world4_support_scene,obj_mug,obj_container,Contact,1
world4_support_scene,obj_bowl,obj_plate,Support,1
world4_support_scene,obj_notebook,obj_toy_cube,Support,1
world4_support_scene,obj_book,obj_glass_jar,Support,1
world4_support_scene,obj_sponge,obj_container,Support,1
world4_support_scene,obj_cereal_box,obj_tissue_box,Contact,1
world4_support_scene,obj_cereal_box,obj_container,Separate,0
world4_support_scene,obj_tissue_box,obj_sponge,Separate,0
world4_support_scene,obj_tissue_box,obj_container,Separate,0
world4_support_scene,obj_storage_box,obj_wooden_crate,Separate,0
world4_support_scene,obj_storage_box,obj_can,Separate,1
world4_support_scene,obj_wooden_crate,obj_bottle,Separate,1
world4_support_scene,obj_wooden_crate,obj_can,Separate,0
world4_support_scene,obj_bottle,obj_can,Separate,0
world4_support_scene,obj_mug,obj_sponge,Separate,0
world4_support_scene,obj_mug,obj_container,Contact,1
world4_support_scene,obj_bowl,obj_plate,Support,1
world4_support_scene,obj_bowl,obj_notebook,Separate,0
world4_support_scene,obj_plate,obj_notebook,Contact,0
world4_support_scene,obj_notebook,obj_book,Contact,0
world4_support_scene,obj_notebook,obj_toy_cube,Support,1
world4_support_scene,obj_book,obj_toy_cube,Separate,0
world4_support_scene,obj_book,obj_glass_jar,Support,1
world4_support_scene,obj_sponge,obj_container,Support,1
world4_support_scene,obj_cereal_box,obj_tissue_box,Contact,1
world4_support_scene,obj_cereal_box,obj_notebook,Separate,0
world4_support_scene,obj_storage_box,obj_can,Separate,1
world4_support_scene,obj_wooden_crate,obj_bottle,Separate,1
world4_support_scene,obj_mug,obj_container,Contact,1
world4_support_scene,obj_bowl,obj_plate,Support,1
world4_support_scene,obj_notebook,obj_toy_cube,Support,1
world4_support_scene,obj_book,obj_glass_jar,Support,1
world4_support_scene,obj_sponge,obj_container,Support,1
world4_support_scene,obj_cereal_box,obj_tissue_box,Contact,1
world4_support_scene,obj_storage_box,obj_can,Separate,1
world4_support_scene,obj_wooden_crate,obj_bottle,Separate,1
world4_support_scene,obj_mug,obj_container,Contact,1
world4_support_scene,obj_bowl,obj_plate,Support,1
world4_support_scene,obj_notebook,obj_toy_cube,Support,1
world4_support_scene,obj_book,obj_glass_jar,Support,1
world4_support_scene,obj_sponge,obj_container,Support,1
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_jar,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_tissue_box,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_cup,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_notebook,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_sponge,obj_toy,Separate,0
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_bowl,obj_mug,Separate,0
world5_occlusion_scene,obj_remote,obj_notebook,Contact,1
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_tissue_box,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_cup,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_notebook,Contact,1
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_mug,obj_container,Separate,0
world5_occlusion_scene,obj_mug,obj_banana,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_notebook,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_book,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_bottle,obj_notebook,Separate,0
world5_occlusion_scene,obj_bottle,obj_book,Separate,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_tissue_box,obj_plate,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_bowl,obj_mug,Separate,0
world5_occlusion_scene,obj_bowl,obj_banana,Separate,0
world5_occlusion_scene,obj_apple,obj_can,Separate,0
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_sponge,obj_banana,Separate,0
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_jar,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_tissue_box,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_bowl,Separate,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world5_occlusion_scene,obj_cereal_box,obj_bottle,Separate,0
world5_occlusion_scene,obj_bottle,obj_jar,Contact,0
world5_occlusion_scene,obj_tissue_box,obj_cup,Contact,0
world5_occlusion_scene,obj_bowl,obj_apple,Contact,0
world5_occlusion_scene,obj_bowl,obj_can,Contact,0
world5_occlusion_scene,obj_remote,obj_book,Support,1
world5_occlusion_scene,obj_notebook,obj_book,Contact,1
world5_occlusion_scene,obj_plate,obj_mug,Contact,0
world5_occlusion_scene,obj_mug,obj_sponge,Separate,0
world5_occlusion_scene,obj_mug,obj_banana,Separate,0
world5_occlusion_scene,obj_sponge,obj_container,Contact,1
world5_occlusion_scene,obj_container,obj_toy,Support,1
world5_occlusion_scene,obj_container,obj_banana,Contact,0
world5_occlusion_scene,obj_toy,obj_banana,Separate,0
world6_dense_mixed,obj_bottle,obj_cereal_box,Separate,0
world6_dense_mixed,obj_cereal_box,obj_tissue_box,Separate,0
world6_dense_mixed,obj_cereal_box,obj_ruler,Separate,0
world6_dense_mixed,obj_tissue_box,obj_bowl,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_remote,obj_pen,Contact,0
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_mug,obj_jar,Separate,0
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_cereal_box,obj_tissue_box,Separate,0
world6_dense_mixed,obj_cereal_box,obj_ruler,Separate,0
world6_dense_mixed,obj_tissue_box,obj_bowl,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_remote,obj_pen,Contact,0
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_bottle,obj_mug,Separate,0
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_jar,obj_notebook,Separate,0
world6_dense_mixed,obj_jar,obj_remote,Separate,0
world6_dense_mixed,obj_cereal_box,obj_notebook,Separate,0
world6_dense_mixed,obj_cereal_box,obj_remote,Separate,0
world6_dense_mixed,obj_tissue_box,obj_banana,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_banana,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_mug,obj_cereal_box,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
